## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.subcategoryId,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
trail_model_pants,trail model pants,men,trail model pants,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/pantsTrail.jpeg,69,http://localhost:4502/content/we-retail/us/en/products/men/pants/trail-model-pants.html#mehisutrs-XS,,,pants,,,,,,,,,,
Amsterdam_Short-Sleeve_Travel_Shirt,Amsterdam Short-Sleeve Travel Shirt,men,Amsterdam Short-Sleeve Travel Shirt,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/shirtsAmsterdam.jpeg,39,http://localhost:4502/content/we-retail/us/en/products/men/shirts/amsterdam-short-sleeve-travel-shirt.html#meotsuamt-XS,,,shirts,,,,,,,,,,
Eton_Short-Sleeve_Shirt,Eton Short-Sleeve Shirt,men,Eton Short-Sleeve Shirt,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/shirtsEton.jpeg,24,http://localhost:4502/content/we-retail/us/en/products/men/shirts/eton-short-sleeve-shirt.html#meotsuett-S,,,shirts,,,,,,,,,,
Laguna_Short-Sleeve_Shirt,Laguna Short-Sleeve Shirt,men,Laguna Short-Sleeve Shirt,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/shirtsLaguna.jpeg,42,http://localhost:4502/content/we-retail/us/en/products/men/shirts/laguna-short-sleeve-shirt.html#mehisulat-XS,,,shirts,,,,,,,,,,
Buffalo_Plaid_Shorts,Buffalo Plaid Shorts,men,Buffalo Plaid Shorts,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/shortsBuffalo.jpeg,32,http://localhost:4502/content/we-retail/us/en/products/men/shorts/buffalo-plaid-shorts.html#mehisubus-S,,,shorts,,,,,,,,,,
Corona_Shorts,Corona Shorts,men,Corona Shorts,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/shortsCorona.jpeg,39,http://localhost:4502/content/we-retail/us/en/products/men/shorts/corona-shorts.html#mehisucos-XS,,,shorts,,,,,,,,,,
Devi_Sleeveless_Shirt,Devi Sleeveless Shirt,women,Devi Sleeveless Shirt,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/shirtsDevi.jpeg,45,http://localhost:4502/content/we-retail/us/en/products/women/shirts/devi-sleeveless-shirt.html#wootsudet-XXS,,,shirts,,,,,,,,,,
Rios_T_Shirt,Rios T Shirt,women,Rios T Shirt,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/shirtsRios.jpeg,39,http://localhost:4502/content/we-retail/us/en/products/women/shirts/rios-t-shirt.html#wohisurit-XXS,,,shirts,,,,,,,,,,
Sonja_Insulated_Jacket,Sonja Insulated Jacket,women,Sonja Insulated Jacket,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/coatsSonjaGreen.jpeg,189,http://localhost:4502/content/we-retail/us/en/products/women/coats/sonja-insulated-jacket.html#wootwisot.1-XS,,,coats,,,,,,,,,,
Soleil_Tunic,Soleil Tunic,women,Soleil Tunic,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/ShirtsSoleilYellow.jpeg,69,http://localhost:4502/content/we-retail/us/en/products/women/shirts/soleil-tunic.html#woswsusoc.1-XS,,,shirts,,,,,,,,,,
Fleet_Fox_Running_Shorts,Fleet Fox Running Shorts,women,Fleet Fox Running Shorts,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/shortsFleetFox.jpeg,35,http://localhost:4502/content/we-retail/us/en/products/women/shorts/fleet-fox-running-shorts.html#wohisufls-XS,,,shorts,,,,,,,,,,
Faba_Running_Pants,Faba Running Pants,women,Faba Running Pants,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/pantsFabaRunning.jpeg,39.99,http://localhost:4502/content/we-retail/us/en/products/women/pants/faba-running-pants.html#116138647,,,pants,,,,,,,,,,
Sequoia_Bike_Helmet,Sequoia Bike Helmet,equipment,Sequoia Bike Helmet,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/bikingsourceSequoia.jpeg,75,http://localhost:4502/content/we-retail/us/en/products/equipment/biking/sequoia-bike-helmet.html#eqbisuset-S,,,biking,,,,,,,,,,
BPA-Free_Water_Bottle,BPA-Free Water Bottle,equipment,BPA-Free Water Bottle,https://raw.githubusercontent.com/KS3111/KS3111.github.io/main/sourceWaterBottle.jpeg,18,http://localhost:4502/content/we-retail/us/en/products/equipment/running/bpa-free-water-bottle.html#eqrusubpe,,,running,,,,,,,,,,
